date,maxtemp,mintemp,rain,wind,sun
01-Jan-21,5,-1.9,0,8.8,6.6
02-Jan-21,3.5,-2.4,0.1,10.1,2.4
03-Jan-21,3.9,-2.5,4.1,9.2,0.6
04-Jan-21,5.3,2.2,0.5,11.5,0.6
05-Jan-21,5.2,1.2,1,9.5,1
06-Jan-21,2.7,-1.9,5,6.5,0.1
07-Jan-21,1.5,-1.7,0.3,8.5,0.3
08-Jan-21,1.9,-5.1,0,10.2,5.9
09-Jan-21,2.4,-5.9,0,6.5,6.8
10-Jan-21,5.5,1.3,0,8.9,0
11-Jan-21,9.4,4.7,4.4,12.3,0
12-Jan-21,9.3,4.5,9.7,6.5,1.2
13-Jan-21,11.1,5.7,6.9,8.8,0
14-Jan-21,10.1,0.6,0.1,12.8,3.5
15-Jan-21,9.3,-2.2,5.7,8.5,0
16-Jan-21,10.6,3.8,0.8,13.2,2.4
17-Jan-21,6.2,1.9,0,9.1,0
18-Jan-21,9,3.9,6.3,6,0
19-Jan-21,11.1,8.1,16.9,8.7,0
20-Jan-21,10.4,0.9,7.8,8.1,0
21-Jan-21,5.6,0.4,0,12.6,4
22-Jan-21,4.3,-0.2,0.2,8.2,3.8
23-Jan-21,3.5,-1.7,0,7.7,5.9
24-Jan-21,1.8,-3.1,0.9,6.5,2.2
25-Jan-21,4,-1.8,0,6.6,5.9
26-Jan-21,10,2.3,1.8,7.9,0.3
27-Jan-21,10.7,7.6,10.4,5.5,0.1
28-Jan-21,11.9,7.3,2,8.3,0.1
29-Jan-21,9.6,5.5,1.3,10.9,0.4
30-Jan-21,6,3.3,20.7,21.6,0
31-Jan-21,3.9,1.6,8.2,11.6,0
01-Feb-21,6.4,2,3.8,7.8,0
02-Feb-21,10,4.8,19.4,7.1,0
03-Feb-21,9.1,6.1,2.1,8.7,2.9
04-Feb-21,10.1,6,2.8,7.8,1.1
05-Feb-21,6.4,2.2,0.1,5.5,0.2
06-Feb-21,6.4,4.1,1.9,11.8,0.1
07-Feb-21,4.7,1.6,0.2,20.1,0.1
08-Feb-21,2.8,-0.2,1.3,18.4,0.2
09-Feb-21,1.9,-0.2,1.2,17.6,0.1
10-Feb-21,3.3,-0.6,1.2,12.5,3.7
11-Feb-21,2,0,0,16,0
12-Feb-21,4.5,0.8,0,17,1.2
13-Feb-21,4.3,0,0.8,20.5,0.2
14-Feb-21,12.7,4.1,1.6,15.5,1.4
15-Feb-21,12.7,7,1,9.6,3.1
16-Feb-21,11.2,7,0.2,11.6,4.1
17-Feb-21,10.5,5.6,0.7,12,4.1
18-Feb-21,10.1,1.5,4.4,12.4,4.9
19-Feb-21,12.4,6.7,2.4,13.2,0
20-Feb-21,12.4,7.1,0.7,13.3,0.2
21-Feb-21,11.9,6.6,0,10.8,4.1
22-Feb-21,12,2.5,0,9.7,7.7
23-Feb-21,14.2,8.3,8.4,18.6,0.1
24-Feb-21,11,6.9,0.6,10.8,0.1
25-Feb-21,9.9,3.4,0.2,7.6,8.2
26-Feb-21,11.6,1.8,0,6.1,7.6
27-Feb-21,12.1,3.9,0,3.8,4.4
28-Feb-21,10.1,0,0,4.2,10.2
01-Mar-21,9.3,-2.2,0,5.9,4.3
02-Mar-21,7.3,-3.1,0,4.7,0
03-Mar-21,5.3,3.5,0,6,0
04-Mar-21,5.4,2.3,0.1,8.2,0.2
05-Mar-21,5.1,-3.5,0,7,0.3
06-Mar-21,7.3,-3,0,4.2,1.4
07-Mar-21,9.8,-0.3,0,4.8,10
08-Mar-21,10.9,4.6,0.6,6.6,1.8
09-Mar-21,10.3,5.9,0.4,12,0
10-Mar-21,13,6.9,8.4,12,0.1
11-Mar-21,9.1,1.4,4.7,15.7,5.7
12-Mar-21,8.2,1.4,4.3,13.1,7.6
13-Mar-21,7.6,2.7,5.1,18.5,6.9
14-Mar-21,10.5,3.8,0.8,15.3,0.5
15-Mar-21,13.3,5.8,1,10.1,1.8
16-Mar-21,13.7,4.6,0.4,11.4,7.4
17-Mar-21,13.2,2.9,0,8.7,6.8
18-Mar-21,14.9,7.9,0,10.9,5.2
19-Mar-21,11.8,1.3,0,5.4,6.4
20-Mar-21,11.9,4.9,0,7.4,1
21-Mar-21,12.1,5.9,0,6.7,5.1
22-Mar-21,9.7,7.3,0,5.9,0
23-Mar-21,11.5,5.5,1,10.4,0.5
24-Mar-21,12.2,4.5,0,9,5.5
25-Mar-21,11.9,6.2,0.2,11.8,3.4
26-Mar-21,9.4,1.6,3.8,13.2,7.1
27-Mar-21,10.3,1.4,0.7,13.2,2.9
28-Mar-21,14.8,10,0.6,15.6,1.2
29-Mar-21,16.4,11.5,0,14.2,7.3
30-Mar-21,15.2,4.7,0,7.1,11.1
31-Mar-21,14.8,5.4,0,5.8,4.8
01-Apr-21,8.7,5.6,0,13.2,1.2
02-Apr-21,9.3,-1.9,0,8.6,8.5
03-Apr-21,11.3,-1.4,0,4.9,11.6
04-Apr-21,13.2,-0.8,0,11.2,10.5
05-Apr-21,7.2,-1.4,0.1,13.5,6.7
06-Apr-21,7.9,-2.1,0.2,13,6.7
07-Apr-21,7.8,-0.3,0.5,8.3,0.6
08-Apr-21,11.1,4.3,0.3,10.4,3.2
09-Apr-21,8,-1.6,1.8,6.2,4.6
10-Apr-21,7.9,-4.7,0,7,7.7
11-Apr-21,7.9,-2.8,1.4,9.2,7.1
12-Apr-21,9.8,1.3,0.3,5.7,2.4
13-Apr-21,10.4,1.2,0,5,6.1
14-Apr-21,11.6,-0.1,0,5.1,12.8
